req_id,requirement,label,reference_explanation,,,,,
1993,"my smart home to automatically vacuum the floors daily while I am at work,the floors will always be clean",Health,This requirement is classified as Health because it automatically cleans the floors to maintain a cleaner living environment. The primary objective is to support household hygiene and well-being by reducing dirt and maintaining cleanliness.,,,,,
1995,"gutters that clean themselves ,I don't have to get up on a ladder.",Other,This requirement is classified as Other because the gutters clean themselves automatically. This reduces the need for manual maintenance.,,,,,
1929,"fragrance sprinkler near my cat's litterbox ,that it will activate after my cat uses it, to keep the room smelling fresh.",Other,This requirement is classified as Other because it automatically releases fragrance after the cat uses the litter box. This improves household convenience by keeping the room fresh.,,,,,
2850,"the robot vacuum cleaner to return to its charging station when needed ,the vacuum can run all day long when we are not home",Health,This requirement is classified as Health because the robot vacuum automatically returns to its charging station to continue cleaning. This supports maintaining a clean living environment.,,,,,
2027,"automated feeding ,my pet can be fed when im not here",Other,This requirement is classified as Other because it automatically feeds the user's pet while they are away. This provides convenient pet care automation.,,,,,
1008,"to be notified whenever the cat is sitting in the bath tub, so I can turn on the tap for him. ,so I can turn on the tap for him.",Other,This requirement is classified as Other because it notifies the user when the cat is sitting in the bathtub. This helps the user respond to the pet's behavior conveniently.,,,,,
3236,"a timer on my TV that automatically starts when turned on ,my children don't watch TV all day.",Health,This requirement is classified as Health because it automatically limits television viewing time. This helps reduce excessive screen time for children.,,,,,
2461,"If any letter dorped in my letter box. ,I can know immidietly.",Other,This requirement is classified as Other because it notifies the user when mail is delivered to the letterbox. This provides convenient awareness of incoming mail.,,,,,
1186,"my coffee maker to automatically perpare itself for the next mornign with water and coffee ,coffee is always reading in the mornign",Health,This requirement is classified as Health because it automatically prepares the coffee maker for the next morning. This supports the user's daily routine and well-being.,,,,,
981,"The crock pot to turn on at a certain time of the day ,When I get home the food I put in the crock pot will be done.",Other,This requirement is classified as Other because the crock pot starts cooking at a scheduled time. This ensures meals are ready when the user arrives home.,,,,,
1099,"my home to be able to tell me where my electronic devices such as my phone or tv remotes are even when they are powered off ,i can save time not searching for lost things",Other,This requirement is classified as Other because it locates electronic devices even when they are powered off. This helps the user quickly find misplaced items.,,,,,
1986,"alarm to tell me when air con filters need changing,inside air is better and use less energy",Health,This requirement is classified as Health because it monitors when the air conditioner filters need to be changed to maintain better indoor air quality. The primary objective is supporting a healthier living environment by ensuring cleaner air inside the home.,,,,,
976,"I wnt my favorite chair to be is massage mode when I get home. ,So that I can relax when I get home.",Health,This requirement is classified as Health because it automatically activates the massage function of the user's chair upon arrival home. This promotes relaxation and physical well-being.,,,,,
1054,"a device that reads any book/notes I hover it over ,I can study while doing other things",Other,This requirement is classified as Other because it reads books or notes aloud when they are placed under the device. This allows the user to study while performing other activities.,,,,,
1206,"Software integrated through the refrigerator, all cooking appliances, any and all exercise equipment, and my bike & Fitbit, to fully track all calories consumed, burned, muscle development, hydration, and other factors relating to health and weight loss. Reminders to take daily vitamins & supplements. My house can help me lose weight and improve my strength and stamina.",Health,"This requirement is classified as Health because it tracks calories, exercise, hydration, body development, and provides reminders for vitamins and supplements. This supports weight management and overall health improvement.",,,,,
2888,"Sensors that will detect rodent activity, I'll know when varmint control measures need to be taken.",Other,This requirement is classified as Other because it detects rodent activity in the home. This helps the user know when pest control measures are needed.,,,,,
1073,"'Piggy' bank that tracks the money added and responds with congratulations and other comments, I can be encouraged to save.",Health,This requirement is classified as Health because it encourages the user to save money through positive feedback. This supports the user's well-being by promoting positive habits.,,,,,
1978,"my mattress to heat up at the same time my thermostat cools down,I can be warm when I go to bed",Health,This requirement is classified as Health because it coordinates the mattress and thermostat to maintain a comfortable sleeping environment that supports restful sleep. The primary objective is improving the user's physical comfort and well-being during sleep.,,,,,
2740,A machine that has wash/dry cycle in the same machine. I don't have to take out my clothes to put from the washer to the dryer.,Other,This requirement is classified as Other because it combines washing and drying into a single machine. This simplifies the laundry process and improves convenience.,,,,,
3090,"water sensor,I'm notified if my basement starts to leak water.",Other,"This requirement is classified as Other because it provides a notification when water leakage is detected in the basement, allowing the user to respond promptly. The primary objective is monitoring and informing the user about home conditions as a general smart home management function.",,,,,
1118,"My smart home to calculate our walking step inside home individual, so that it will motivate to stay as fit.",Health,This requirement is classified as Health because it calculates each person's walking steps inside the home. This encourages physical activity and fitness.,,,,,
1717,"Automatic toilet seat, once I walk up to it, the lid opens and when I am finished, the lid shuts and flushes by itself.",Health,"This requirement is classified as Health because the toilet automatically opens, flushes, and closes after use. This promotes hygiene through hands-free operation.",,,,,
2869,My coffee freshly ground and brewed every morning before I wake up. I can save time.,Other,This requirement is classified as Other because it automatically grinds and brews fresh coffee before the user wakes up. This provides convenience and saves time.,,,,,
59,"Smart appliances that give me relevant information on the food i'm cooking, Food always gets cooked as much as it's needed.",Health,This requirement is classified as Health because smart appliances provide information about the food being cooked. This helps ensure food is cooked appropriately for consumption.,,,,,
1521,"The option to activate the opening and closing of window curtains by using a remote or smart phone application, during the day the blinds can be open and closed when necessary without having to manually open and close them.",Other,This requirement is classified as Other because it allows window curtains to be opened and closed remotely using a smartphone or remote control. This provides convenient home automation.,,,,,
2091,"Smart garbage can that scans barcodes of what I throw out, and if it is a regularly used product (paper towels, eggs, bread bag,) puts them on a the 'to buy'/grocery list so I wont forget, I will not forget to buy oft-used staples for the house.",Health,This requirement is classified as Health because it tracks discarded food products and automatically adds frequently used items to a grocery list. This helps maintain an adequate supply of household food items.,,,,,
1020,"I want the windows to lock, no flies come in.",Health,This requirement is classified as Health because locking the windows prevents flies from entering the home. This helps maintain a cleaner and healthier indoor environment.,,,,,
917,"The door to record the time of day or night it is opened, I can know what time my teenager comes home without having to stay up for him or her.",Other,This requirement is classified as Other because it records the times when the door is opened. This provides convenient information about household activity.,,,,,
1335,"My smart home to detect and sound an alarm when my pet is on the counters, I can teach him when I am not at home.",Other,This requirement is classified as Other because it detects when a pet is on the counters and sounds an alarm. This helps the user monitor and train the pet even when away.,,,,,
2592,"A food device that organizes food portions and/or calories, I can maintain a healthy weight and lifestyle.",Health,This requirement is classified as Health because it organizes food portions and calorie intake. This supports maintaining a healthy weight and lifestyle.,,,,,
1397,"To be able to access my pantry and fridge's inventory, i can get exactly what i need from the grocery store without having to create a list.",Other,This requirement is classified as Other because it allows the user to access pantry and refrigerator inventories remotely. This makes grocery shopping more convenient.,,,,,
2050,"My smart refrigerator to sense variations in temperature and alert me if maintenance will soon be required, I'm not caught with a broken fridge and lose all my food.",Health,This requirement is classified as Health because it monitors refrigerator temperature changes and alerts the user when maintenance may be needed. This helps preserve food safely by preventing appliance failure.,,,,,
2530,Notify me if there are any shortage in my kitchen product. I can buy at time.,Health,This requirement is classified as Health because it notifies the user when kitchen products are running low. This helps ensure essential food items are replenished in time.,,,,,
3225,"Soft lullaby music to play when I enter the nursery with my child, my baby will stay asleep.",Health,This requirement is classified as Health because soft lullaby music plays automatically in the nursery. This supports the baby's rest and well-being.,,,,,
2258,"My smart home to let me know if I've left clothes in the washer for too long, they don't get that nasty funk.",Other,This requirement is classified as Other because it reminds the user when clothes have been left in the washer for too long. This provides a convenient laundry management feature.,,,,,
2185,"The TV to turn off when my laptop is on and vice versa, I can study better and focus on one thing at once.",Other,This requirement is classified as Other because it prevents the TV and laptop from operating at the same time. This helps the user focus on a single activity.,,,,,
647,"My smart home to help me keep track of what my responsibilities are, I wont forget what I need to do.",Other,This requirement is classified as Other because it helps the user keep track of responsibilities and tasks. This provides convenient assistance with daily organization.,,,,,
417,Sensors to realize when I am tossing and turning in bed and turn the temperature in the room down automatically. I won't wake up from being too hot.,Health,This requirement is classified as Health because it detects tossing and turning during sleep and adjusts the room temperature. This helps improve sleep comfort and well-being.,,,,,
1549,"Fire place turns on when I get home from work, it will be warm and relaxing after work.",Health,This requirement is classified as Health because the fireplace automatically turns on before the user arrives home to provide warmth and relaxation. This supports physical comfort and well-being.,,,,,
1926,"Blinds automatically open with the sun rise and direction, Maximize amount of sunlight in home.",Health,This requirement is classified as Health because the blinds automatically open with the sunrise to maximize natural sunlight. This supports a healthier indoor environment through increased daylight.,,,,,
1895,"self-cleaning tub,I'll have less chores",Health,This requirement is classified as Health because it automates cleaning of the bathtub to maintain a cleaner and more hygienic bathroom environment. The primary objective is supporting a healthier living environment by reducing the buildup of dirt and contaminants.,,,,,
951,"Increase the heart beat, to ensure the health fitness.",Health,This requirement is classified as Health because it supports increasing heart rate to improve physical fitness. This promotes better health and exercise outcomes.,,,,,
607,"My smart home to clean my cats's litter box whenever its soiled, I don't have to breathe in the fumes from the litter box.",Health,This requirement is classified as Health because it automatically cleans the cat's litter box after use. This reduces exposure to litter fumes and improves hygiene.,,,,,
2529,"Self loading washer and dryer, Myself and elderly people or people with back problems can have an easier time doing laundry.",Health,This requirement is classified as Health because a self-loading washer and dryer reduce the physical effort required for doing laundry. This makes the task easier for elderly users and people with back problems.,,,,,
1641,"I want a refrigerator that automatically monitors and purchases groceries that are low, ,I can save time from having to shop.",Health,This requirement is classified as Health because the refrigerator monitors groceries and automatically purchases items that are running low. This helps ensure essential food remains available.,,,,,
1221,"a self cleaning toilet ,I don't have to clean the toilet",Other,This requirement is classified as Other because the toilet cleans itself automatically. This reduces the user's household cleaning effort.,,,,,
1647,"a home that monitors my gym membership activity and reminds me to work out, ,I can stay motivated to work out.",Health,This requirement is classified as Health because it monitors gym attendance and reminds the user to exercise. This encourages regular physical activity and supports fitness.,,,,,
2089,"a fridge that automatically knows what I put in it by scanning the barcodes of food and tells me what I have at the push of a button ,I know what I have, and food does not go to waste",Health,This requirement is classified as Health because the refrigerator tracks stored food by scanning barcodes and maintains an inventory. This helps reduce food waste and manage food supplies.,,,,,
717,"my smart home to ring a bell at meal times ,I don't have to call each and every person separetely",Other,This requirement is classified as Other because it rings a bell at meal times. This conveniently notifies everyone without requiring the user to call each person individually.,,,,,
934,"my smart home to alert me when it is time for a meal. ,I can keep up with a consisting meal schedule.",Health,This requirement is classified as Health because it reminds the user when it is time to eat. This supports maintaining a consistent meal schedule.,,,,,
1976,"a fridge that monitors my supplies ,I know what ingredients I have to work with",Health,This requirement is classified as Health because the refrigerator monitors available food supplies. This helps the user keep track of ingredients for meals.,,,,,
2584,"a smart computer system ,it is up and ready for work in the morning automatically without my having to turn it on",Other,This requirement is classified as Other because the computer starts automatically before the user begins work. This provides convenience by reducing setup time.,,,,,
2502,"A weight scale to store and analyze my weight trends ,I know where I stand",Health,This requirement is classified as Health because the weight scale stores and analyzes weight trends. This helps the user monitor their physical health over time.,,,,,
1988,"my smart home to sense when to and water my houseplants when they need it ,i won't have to remember ",Other,This requirement is classified as Other because the smart home automatically waters houseplants when needed. This automates plant care without requiring the user to remember.,,,,,
1885,"auto cleaning fridge,i don't have to",Health,This requirement is classified as Health because it automatically cleans the refrigerator to maintain a cleaner and more hygienic food storage environment. The primary objective is supporting health by reducing contamination and improving cleanliness.,,,,,
2719,"my smart home to tell me if clothes are finished washing or drying.  ,I can take them out or transfer them. ",Other,This requirement is classified as Other because it notifies the user when clothes have finished washing or drying. This provides convenient updates for laundry management.,,,,,
1041,"self scrubbing carpets ,I never have to pay for a deep cleaner when i move",Health,This requirement is classified as Health because carpets automatically scrub themselves to maintain cleanliness. This supports a cleaner and healthier indoor environment.,,,,,
548,"my smart home to warn me if there is mold in the air, in my fridge or bathroom. ,I maintain a healthy environment",Health,"This requirement is classified as Health because it detects mold in the air, refrigerator, or bathroom. This helps maintain a healthy living environment by identifying potential health hazards.",,,,,
841,"to have wifi coffee machines ,I can easily brew coffee with an app",Other,This requirement is classified as Other because it allows the coffee machine to be controlled through a mobile app. This provides convenient remote operation.,,,,,
1889,"access to the home without keys,I don't have to hold onto multiple homeowner's keys. I can gain access to a home/certain rooms with just my phone. ",Other,"This requirement is classified as Other because it enables keyless access to the home using a smartphone for greater convenience. The primary objective is simplifying home access through general smart home automation rather than addressing a specific domain such as energy, health, safety, or entertainment.",,,,,
2033,"my smart home to include a closet that automatically pulls together my clothing outfit for each day on my voice command ,I don't have to think about it",Other,This requirement is classified as Other because it automatically selects a clothing outfit based on a voice command. This simplifies the user's daily routine.,,,,,
2400,"my smart home to automatically pick up my cat's droppings ,the house will not smell and I won't have to do it",Health,This requirement is classified as Health because it automatically removes cat droppings. This helps maintain a cleaner and more hygienic home environment.,,,,,
1505,"a SMART Home option that will allow my pet to walk to the door, bark, and a dog door raises to let them out ,it will keep unwanted animals from aimlessly wandering into your house.",Health,This requirement is classified as Health because it allows a pet to exit through a controlled dog door while preventing unwanted animals from entering. This supports the pet's well-being while maintaining a cleaner environment.,,,,,
1896,"A kitchen that can upload recipe requirements from my computer to my appliance,the stove will preheat itself, timers will be pre-set, and I'll save time preparing food.",Other,This requirement is classified as Other because it coordinates multiple kitchen appliances using recipe information to automate meal preparation tasks. The primary objective is improving convenience and simplifying everyday cooking through general smart home automation.,,,,,
1179,"my oven to be preheated when I get home ,dinner will be ready 10 minutes earlier",Health,"This requirement is classified as Health because the oven is preheated before the user arrives home, making meal preparation easier. This supports a more convenient daily routine around meals.",,,,,
1613,"to check my food to be healthy and things which we buy is organic ,it makes us healthy",Health,This requirement is classified as Health because it checks whether purchased food is healthy and organic. This helps the user make healthier dietary choices.,,,,,
1461,"a smart mailbox ,i receive smart phone notifications when mail is placed in my box",Other,This requirement is classified as Other because a smart mailbox sends notifications when mail is delivered. This provides convenient awareness of incoming mail.,,,,,
1124,"my smart home to activate the Roomba at certain times of the day, ,my home stays clean.",Health,This requirement is classified as Health because it schedules the robot vacuum to clean the home automatically. This helps maintain a cleaner indoor environment.,,,,,
2801,"my smart phone to be able to remind me when to do water changes in my tanks ,I can be reminded to do fish chores.",Other,This requirement is classified as Other because it reminds the user when water changes are due for their tanks. This helps the user manage routine maintenance tasks.,,,,,
270,"it to run a lawn mower if the grass is getting too high and out of control. ,the grass is maintained and looking nice.",Other,This requirement is classified as Other because it automatically operates the lawn mower when the grass becomes too long. This keeps the lawn maintained with minimal user effort.,,,,,
2905,"my smart home to let me know if I have exceeded my monthly water allotment ,I can conserve water and save money",Health,This requirement is classified as Health because it notifies the user when monthly water usage exceeds the allotted amount. This encourages responsible water use for household well-being.,,,,,
2431,"my bed to slowly tilt so that I roll out of it in the morning  ,I don't stay in bed too long",Health,This requirement is classified as Health because the bed gradually tilts to help the user get out of bed. This encourages a healthier daily routine by reducing oversleeping.,,,,,
170,"Bed automatically makes itself for sleeping and after sleeping ,no need to occupant manually make bed",Other,This requirement is classified as Other because the bed automatically makes itself before and after use. This reduces the user's daily household chores.,,,,,
840,"an alert to my phone when a package is left on my doorstep ,I know to pick it up and will know if it goes missing.",Other,This requirement is classified as Other because it sends a phone alert when a package is delivered to the doorstep. This helps the user conveniently retrieve deliveries.,,,,,
1829,"A soil monitor, I can be alerted when my plants need watering.",Other,This requirement is classified as Other because it monitors soil conditions and alerts the user when plants need watering. This provides convenient assistance with plant care.,,,,,
3044,"Scale to upload weight to a data server, I can keep track of it.",Health,This requirement is classified as Health because it uploads weight measurements to a data server. This helps the user monitor their weight over time.,,,,,
207,"My smart home to inform me quickly when my solar water heater does heat water, I don't need to go everytime in bathroom to check the hotness of water.",Other,This requirement is classified as Other because it notifies the user when the solar water heater has heated the water. This provides convenient information without requiring manual checking.,,,,,
1215,"Automatic window cleaners, I do not need to spend hours cleaning them.",Other,This requirement is classified as Other because it automatically cleans windows. This reduces the user's household maintenance effort.,,,,,
3060,"Synchronized alarm clocks, my entire family can be woken at the same time.",Other,This requirement is classified as Other because synchronized alarm clocks wake the entire family at the same time. This provides convenient coordination of daily routines.,,,,,
806,"The ability to monitor my dog's water bowl, I know when it should be filled.",Health,This requirement is classified as Health because it monitors the dog's water bowl and indicates when it needs refilling. This helps ensure the pet has adequate access to water.,,,,,
2383,"A robot that pours me my captain crunch, i don't have to pour my own captain crunch.",Other,This requirement is classified as Other because a robot automatically pours cereal for the user. This provides convenience by automating a routine task.,,,,,
3176,"A machine to tell me what allergens are in my home, I can stay healthy.",Health,This requirement is classified as Health because it detects allergens present in the home. This helps the user maintain a healthier indoor environment.,,,,,
1876,"air purifier,fresh air ",Health,This requirement is classified as Health because it improves indoor air quality by providing cleaner and fresher air. The primary objective is supporting the occupants' health and well-being through a healthier indoor environment.,,,,,
363,"My home to automatically wake up children at a predetermined time for school, I do not have to wake my children up myself and they are not late for school.",Other,This requirement is classified as Other because it automatically wakes children at a scheduled time for school. This reduces the need for manual intervention by the user.,,,,,
3104,"Sensors on doors, doors auotmatically open and close when I am near them.",Other,This requirement is classified as Other because sensors automatically open and close doors when the user approaches. This provides convenient hands-free access.,,,,,
669,"To be able to start my car from inside the house, it can warm up in winter time.",Health,This requirement is classified as Health because it allows the user to start the car remotely so it is warm in winter. This supports the user's physical comfort before travel.,,,,,
642,"My smart home to keep track of my health, I can stay healty.",Health,This requirement is classified as Health because it keeps track of the user's health. This supports ongoing monitoring of the user's well-being.,,,,,
3122,"A washer and drier that text me as soon as they're done, I can do the laundry more quickly and efficiently.",Other,This requirement is classified as Other because the washer and dryer send a text message when a cycle is complete. This provides convenient laundry status updates.,,,,,
2298,"Flea sesors, I will know as soon as my pet has a flea.",Health,This requirement is classified as Health because it detects fleas on the user's pet. This helps maintain the pet's health by identifying infestations early.,,,,,
2284,"Plant moisture detector, plants are watered in a timely manner.",Other,This requirement is classified as Other because it detects plant moisture levels. This helps ensure plants are watered at the appropriate time.,,,,,
2106,"My work computer to turn on at a set time each day, I am never late logging in for work.",Other,This requirement is classified as Other because it automatically turns on the user's work computer at a scheduled time. This supports a more convenient work routine.,,,,,
3164,"A program where I can tag unwanted mail, I no longer receive junk in the mail.",Other,This requirement is classified as Other because it allows the user to identify unwanted mail to reduce future junk mail. This improves convenience in managing correspondence.,,,,,
1245,"Answer phone, use hands less.",Other,This requirement is classified as Other because it allows phone calls to be answered hands-free. This provides greater convenience during communication.,,,,,
33,"My smart home to open my garage door when it senses my vehicle arriving outside of it, I don't have to worry about carrying a remote control opener.",Other,This requirement is classified as Other because it automatically opens the garage door when the user's vehicle arrives. This eliminates the need to use a remote control.,,,,,
1288,"Alarm, wake up alarm to get up for reading.",Health,This requirement is classified as Health because it provides a wake-up alarm for reading. This supports maintaining a planned daily routine.,,,,,
992,"Auto humidifier when necessary, healthy level of humidity is in the air.",Health,This requirement is classified as Health because it automatically operates a humidifier when needed to maintain healthy indoor humidity levels. This supports a healthier living environment.,,,,,
1868,"Diet system that control kitchen, auto suggest to eat, time suggest, follow it.,Health diet, make a special time to eat.",Health,This requirement is classified as Health because it provides dietary recommendations and meal-time reminders to encourage healthy eating habits. The primary objective is supporting the user's health and well-being through diet management and nutrition guidance.,,,,,
3037,"Wifi wired into all of the walls, I would never have to worry about weak internet anywhere in the house.",Other,This requirement is classified as Other because it provides consistent Wi-Fi coverage throughout the home. This improves convenience by eliminating weak signal areas.,,,,,
1542,"Database of my husband's blood sugar and pressure, i can help him keep his health appropiately.",Health,This requirement is classified as Health because it stores records of blood sugar and blood pressure. This helps monitor and manage the user's husband's health.,,,,,
562,"A smart home that has motion sensors that I can program to trigger music/lighting/audio reminders when I enter a certain room, I can benefit from the convenience of not having to turn things on manually, and also to remember why I go to certain rooms in the first place.",Other,"This requirement is classified as Other because programmable motion sensors trigger music, lighting, or reminders when the user enters a room. This provides convenient home automation and reminders.",,,,,
