req_id,requirements,label
180,"Fence doors automatically unlock and open when i arrive by foot or by car, no need to manually open / close or lock / unclok.",Safety
181,"my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home, so that so that I can quickly complain the same with sufficient proof to appropriate authorities.",Safety
183,"turn electronic devices on or off from anywhere I have an Internet connection., I can save energy.",Energy
184,"my smart home to sense and inform small or tiny movable living things like mosquitoes, termites., so that so that we can take appropriate steps to discard them in order to free from material or health loss.",Health
185,"to protect my objects, my things wont get stolen.",Safety
186,"my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door, parcel package-related thefts can be minimized either when we are home or are not.",Safety
187,"my smart home to alarm me if danger, I can be safe.",Safety
188,"my smart home to automatically open doors to those whose faces are already registered in system, so that so that I don't need to open doors manually..",Safety
190,"my smart house to contact the police, I can be safe if my home is broken into.",Safety
191,"I want my smart-home to take picture of persons coming near to outside doors between 8 pm to 6 am.And a mobile alert same time., So that i can recognize unknown persons ..",Safety
192,"my smart home to film the house, I can catch intruders on camera in case of court..",Safety
193,"switch on any lights automatically when dark falls and switch off in the morning automatically., I can save electricity.",Energy
194,"my smart house to have solar panels, I can save money on electricity.",Energy
195,"my smart home to shut off the air when the room is at the right temperature, I can save money on bills.",Energy
196,"my smart home to tell me if food is spoiled in the fridge, i dont eat old food.",Safety
197,"my smart home to tell me the bacteria percentage in my home, I know when to disinfect.",Health
198,"Revolv (central automation device ), When we are using  too many home automation devices, opening the right app for the right device can become difficult and counterproductive. This time Revolv become the central automation device for my home.  Just put this device in centre of  home and  connect to  Wi-Fi then let it scan for  other home automation devices. Even if it fails to locate them, we can manually add them through the Revolv app too..",Safety
199,"my smart home to lock all doors at once, I dont have to worry about locking all the doors..",Safety
200,"my smart home to automatically open windows with the help of remote control, smoke can be emit quickly.",Other
201,"my smart home to capture a picture, open a communication channel, and alert me via a specific sound and a text message via mobile phone when a person rings my doorbell or knocks on my front or rear door, I may know and may communicate with visitors to my home without having to approach or to open the doors in question.",Safety
202,"my smart home to take photographs of person and message photo to my mobile phone when he approaches the main door., thefts can be reduced.",Safety
204,"my smart home to have a system which can remind me to do a pre manage lists of a day or night, I can't miss any less important task.",Other
205,"my smarthome to switch off All the bulbs after 10 pm automaticaly, we can save wastage of electricity.",Energy
206,"Lights in the front side of my home is on when I am out of station., thieves will think that people is there in the house..",Safety
207,"my smart home to inform me quickly when my solar water heater does heat water, I don't need to go everytime in bathroom to check the hotness of water.",Other
208,"to secure my house and my family when there is a gas leakage., I am tension free..",Safety
209,"I want to get the Airconditioner off,when the room is empty, I can save energy.",Energy
210,"to switch off TV, Radio and other Leisure gadgets after 10 pm, no energy is wasted and consume the overuse of electricity.",Entertainment
211,"I want to block strangers from entering my house when the child is alone., I am tension free..",Safety
213,"I want to secure my house during night., I can sleep peacefully.",Safety
214,"Keyless Digital Door Lock, I don't have to carry keys with me..",Safety
215,"control my shower''s temperature, spray, steam, audio, and lighting of the shower., I can save energy.",Energy
216,"Innovative controls in my kitchen, so that cooking is energy saving & easy.",Energy
217,"control the temperature in my room., I can save energy.",Energy
218,"my smart home to automatically start radio in specific timings, I can't miss any favorite radio songs.",Entertainment
219,"my smart home to automatically open and close my garage door when I approach and leave my home in my car, vehicle-related weather protection can be maximized, and vehicle thefts can be minimized.",Safety
220,"giving voice commands to equipments, i am relaxed.",Entertainment
221,"my smarthome clock to alert my child to eat food at regular and correct time, my child can look after his health properly.",Health
222,"alarms to go off when movement is triggered, i can feel safe in my home alone..",Safety
223,"Net alarm system ('smarter' home security system), As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help.",Safety
224,"motion lights, I can see any intruders at night as they approach..",Safety
225,"my coffeemaker to start automatically, my coffee will be ready when I go to wake my son up early in the morning..",Other
226,"my smart home to have fans whose speed vary with external environment, both energy and money can be saved.",Energy
227,"automatic alarms to go off when smoke detectors are triggered, I know my kids are safe..",Safety
228,"my washing machine to automatically turn off when the washing is finished, No wastage of electricity and energy is happening.",Energy
229,"carbon monoxide detectors with self-testing capacity, I know my alarms are on and functioning to keep my kids safe..",Safety
230,"lights to automatically turn off when no motion is detected in a room, I will save on bills..",Energy
231,"to keep a buzz on electric wires and other sockets, my children is alerted when touching them accidently.",Safety
232,"a thermostat that learns my schedule and self-adjusts, I know I am saving as much as possible on my home heating costs..",Energy
233,"Multipurpose bathroom appliace like shower, It can automatically sense the room temperature and  according to temperature ,it change the temperature of water so that we will not have any discomfort while bathing..",Health
234,"an oven that preheats at set intervals, I can be ready to cook dinner when I get my son home from school..",Energy
235,"my smart home to have dynamic solar panels which can be set just opposite to the sun, so that maximum electricity can be generated..",Energy
236,"A/C automatically maintain the perfect temperature by calculating  past usage patterns., can be save on energy costs.",Energy
237,"wireless access to emergency services, I can still call for help if my phone lines are cut..",Safety
238,"remote wireless access to surveillance cameras, I can keep an eye on my home in real time even when I am away..",Safety
239,"to set an alarm on all the water pipes, it automatically alerts when there is a water wastage.",Safety
240,"to get an alert when there is water spilled over the floor, home occupant is alerted and don't fall off.",Safety
242,"my A/C to automatically on if the temperature fall down a mentioned room temperature, the temperature is well maintained all the time.",Entertainment
243,"Auto sensing music system, It can sense automatically my mood and play the song as per my mood.",Entertainment
244,"my smart home to notify me via text message when my internet service bandwidth declines below a pre-specified speed, and also keeps track of bandwidth outages and speed reductions, I may be notified of internet service provider outages and bandwidth reductions which will affect the use of my smart home technologies.",Safety
245,"Thermostat show temperature from across the room and give recommend to heat or cool the room., can be save on energy costs.",Energy
246,"my doors to lock up automatically after a mentioned time, we can prevent theft and other burglary.",Safety
247,"my smart home to notify me via text message when regular tests of my various installed smart home technologies indicate a specific technology malfunction or failure, may know without manual testing that my various installed smart home technologies are completely functional and operative.",Safety
248,"open door using my smart phones, can increase my home safety.",Safety
249,"a doorbell camera let me to see and talk to the visors at front door., can save time.",Other
250,"my smart home to automatically water my front and rear lawn areas at pre-specified times each day, I do not have to manually water my lawn.",Other
251,"to open front gate of my home automatically when my vehicle approach to gate and close after vehicle pass the gate, can be save time.",Other
253,"coffee machine is controllable from mobile and tablet., can be save time.",Other
254,"smart device to clean your windows automatically, can be save time.",Other
255,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day, I do not have to manually adjust these items each evening.",Safety
256,"my smart home to manage electicity of home. when some activity or movement is going on the lights get auto on for some specific time but if there is no activity going on like room is vacant or people are sleeping then it can auto sensor and switch off the lights and also maintain the brightness of lights., energy can be saved in less effort.",Energy
257,"smart snowlance to clean snow on my home roof automatically, can be save time.",Other
258,"my smart home to monitor my body temprature and manage the home temprature according to that., people living in home stay fit and healthy.",Health
259,"my home to blink a red bulb whenever someone is starring for more then one minute to the home, i can closely monitor who is keeping eye on me or my home.",Safety
260,"my home to play soothing music while evening time, i can relax.",Entertainment
261,"my smart home to ring bell in all over the home, so that all member can wake at time..",Entertainment
262,"my smart home to make sound the alarm in the moments before a big tremor strikes, can be save life.",Safety
263,"my smart home to have voice command feature to operate activities from bathrooms, even if i am alone in home and in bathroom i can manage the activities.",Other
264,"my home floors to be auto cleaner when anything spills., i can manage cleanniness and good health.",Health
265,"my smart home to be full of sunlight and moonlight by transparent walls whenever i need it i can manage the opesity, i can enjoy the nature.",Entertainment
266,"my smart home to collect and manage the various power requirements of my smart appliances, heating and cooling technologies, and my security and access systems, and I wish to be alerted via text message via mobile phone when power-related problems, spikes or failures occur, I may have alternate back-up power sources automatically activated, or manually activate them myself.",Energy
267,"my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it., it can save my time to search things.",Other
268,"my smart home to change the fragrence of home in every few hours, i can enjoy the fregrances.",Entertainment
269,"it to maintain the temperature and ask person at home or other place if the temperature should be higher or lower., A person can be comfortable and not too cold or too hot..",Health
270,"it to run a lawn mower if the grass is getting too high and out of control., the grass is maintained and looking nice..",Other
271,"it to watch people who get close to the house and alert the homeowner if they are suspicious., the homeowner knows if someone might break in or might steal something outside like mail..",Safety
272,"it to check each room and turn off lights if a person is not in the room, the electricty isn't being used when it is not needed..",Energy
273,"it to check the contents of the refirgerator and inform user if the milk is too old or when to get new food., food can be thrown out when old or food can be bought when running out..",Safety
274,"my smarthome to beep when there is a rodent inside my home, there won't be any damage to my household things.",Safety
275,"my smarthome to automatically turn on the television whenever my favorite show is telecast., I don't miss my favorite shows.",Entertainment
276,"it to turn on the TV to the news channel of the user's choice when important news is happening, the user can be aware when major news is happening which the user would want to hear about right away..",Entertainment
277,"my smarthome to alert me when there is water flooding in my home during the rainy season, I can save my belongings.",Safety
278,"it to prepare the bath when a user wants it at a perfect temperature and with bubbles if needed., the user doesn't have to wait for a bath to have it at a perfect temperature..",Health
279,"my smarthome to buzz me whenever my dog poops inside my home, I can clean the faeces quickly and keep my home clean.",Health
280,"it to prepeare the coffee in the morning before user wakes up, the user can have a fresh hot coffee when they get up..",Health
281,"my smarthome to alert me whenever someone sets up a spycam inside my home., I won't be monitored.",Safety
282,"it to remind the person to go to bed at a specific time for school,work or special occasion, the user will get enough sleep and not forget about when they have to go to sleep..",Health
283,"my smarthome to automatically turn off the lights whenever I leave my home, I can save money on energy bills.",Energy
284,"my smarthome to alert me whenever there is a gas leak inside my home, I can save myself.",Safety
285,"it to wash the dishes at the best time available, the dishes will get washed at a time when appliances are not used often in the neighborhood..",Energy
286,"my smarthome to alert me whenever the amount of milk in my fridge is too low, I can get them from the supermarket and enjoy a wholesome breakfast.",Health
287,"it to turn on the outside lights at night and turn them off in the morning also dim lights when light isn't needed so bright, energy is saved and safety at night is observed with light to deter burglary.",Safety
288,"my smarthome to play some music after I come back from work, I can relax and relieve my stress.",Entertainment
289,"my smarthome to give an update on the weather when I am about to leave my home, I can carry an umbrella and avoid the rains.",Safety
290,"it to monitor people with health problems so if something is wrong the medical emergency agents gets called, people who might fall and can't get help will be able to get help or someone who passes out because a disease can get help fast..",Health
291,"it to turn on the oven at a specific time agreed upon by a person, dinner can be ready at a specific time before the home owner gets home or they forget..",Health
292,"dangerous doors to stay locked, my child will be safe..",Safety
293,"channels to be safe, my child wont watch bad stuff.",Entertainment
294,"doors to stay locked, thiefs don't enter.",Safety
295,"cameras to record, i can see what happens.",Safety
296,"items to save energy, my bills arent high.",Energy
297,"lights to dim when i'm gone, i save energy.",Energy
298,"alarms to be in place, i know whats going on.",Safety
299,"detectors installed, i know when a fire happens.",Safety
300,"health scales installed, i can stay healthy.",Health
301,"high tech learning, my child can learn.",Entertainment
302,"to know when someone is trying to break into my home., I can protect my family on the inside..",Safety
303,"something to warn me if there is an electrical problem in the wall, I can get it fixed before my house burns down..",Safety
304,"something that alerts me when my dog gets too close to dangerous foods or things, I can get the dog away from whatever is there..",Safety
305,"radiator thermostats, I can control the temperature of the house easily even when I am away from home..",Energy
306,"my smart home to alert authorities when it detects the presence of carbon monoxide or fire., they can respond quickly and prevent loss of life or damage to the home..",Safety
307,"an alert my refrigerator is acting funny, so I can have it serviced so I can save money..",Energy
308,"smart lights that change throughout the time of day, lights will automatically come on when needed when I come home..",Energy
310,"my refrigerator to let me know when food is bad, I can toss it to keep my family from becoming ill..",Health
311,"My smart house to turn the lights off after there is no movment in a room for 20 min, I can save money on light bulbs and electricity..",Energy
313,"my television to warn me when a rated R movie is coming on, I can stop it before my children see it.",Entertainment
315,"my fridge to be programmable so that I can insert a list of items I want to keep on hand and when the item gets low, i can push a button to have it added to a shopping list that interacts with my laptop (like via an application) and generates a list fo rme, I can just print out the list (or even better have it on my phone) and take it to the store with me and not forget to pick up things (like milk).",Health
316,"a central control unit, I can easily change settings of smart home features in my house..",Other
317,"have the lights dim for a romantic evening with my husband, I do not have to move and spoil the moment..",Entertainment
318,"something to warn me when the stove isn't working right, I can cook the food properly to keep my family from being ill..",Health
319,"security footage of visits by humans only, I can save time when reviewing the footage.",Safety
320,"my smart home to recognize a durress phrase,, when I say it, the police will automatically alerted to the presence of an emergency/intruder etc. and respond. (kinda like a silent alarm in the bank0.",Safety
321,"to be able to lock my house through an app, if I forget to lock any doors, I can do so from home..",Safety
323,"a light to kick on when someone approaches my door, I can make sure whether to answer the door or not..",Safety
324,"motion sensors in my home, I can tell when something is moving about if it is suppose to be there..",Safety
325,"my smart home to restrict tv channels when my child turns on the tv (perhaps via a profile menu or something), my child can only access child appropriate channels..",Entertainment
326,"measurements of what each appliance draws in voltage, I can conserve energy.",Energy
327,"smoke detectors that will alert me if I am away from home, I can know if a fire happens right away..",Safety
328,"something that alerts me when my dog is in the trash, stop her from grabbing something she should't..",Safety
329,"the house to automatically determine the right temperature to set the thermostat, I will save on my home heating bills.",Energy
330,"my smart home to turn off internet access for my child's playstation or computer when a certain time period (to be specified by adult) has been reached, they will not spend the whole day playing on the internet/video games..",Entertainment
331,"My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde, My home will be secure from burgulars.",Safety
332,"the house to automatically shut off lights in rooms without occupants, I will save on electricity bills.",Energy
333,"a floor heating controller, I can have comfortable floors during winter time..",Energy
334,"lights to turn off if no one has entered a room during a given period, I can save electricity.",Energy
335,"my porch lights to be programmable to come on when it gets dark, I can see when I get home..",Energy
336,"my smart home to turn off lights in rooms when no motion is detected after 15 minutes, I can save on energy costs and lower energy usage.",Energy
337,"my smart home to have programmable lights, so that when i'm away they will turn on at specific times to discourage theft..",Safety
338,"a smoke alarm that I can easily temporarily disable for an hour, it doesn't go off when I'm cooking something smoky.",Safety
339,"a voice activated recipe search program in my kitchen, I can easily find recipes for something I want to cook and it could list off ingredients for me while I am searching for them..",Other
340,"my smart home to allow me to track my fitness goals (like weight, exercise calories, food consumed) through an easy app (like while preparing a recipe I may be able to just push the ""i've eaten this button"" on the interface), I am encouraged to be more active and eat better..",Health
341,"a standard setting (like a car radio button) for a temperature I like the water, I don't experience water that's too hot or too cold each time.",Health
342,"the window blinds to automatically open and close depending on the time of day, I can maintain my privacy and save on electricity.",Safety
343,"my smart home to manage temperature settings when people are home and away, we don't unnecessarily use energy when no one is around..",Energy
344,"an alarm to go off whenever someone who is under a certain height goes in the kitchen, my child wont be able to get into dangerous things in the kitchen. Such as; getting burned on the stove or getting into dangerous chemicals..",Safety
345,"door and window sensors, I can tell if anyone suspicious has been around my house and can avoid robbery..",Safety
346,"video cameras to start recording anytime someone comes in range of the main door, I will know whether or not I should open the door to visitors.",Safety
347,"my smart home to alert me when my cat enters or leaves the house, I have a better idea where the pet is (and don't spend hours searchign inside, when the cat is actually outside).",Entertainment
348,"lights and my stereo hooked to my alarm clock, I am forced to wake up.",Entertainment
349,"a room monitor, if I have a child, I can tell if anything is wrong with the baby at night..",Safety
350,"my music and videos to sync across devices all over the house, I will not have to manually transfer my entertainment between devices.",Entertainment
351,"my doors to lock automaticaly, I never have to worry about them being locked..",Safety
352,"my smart phone to have programmable thermostats/electricity settings that automatically engage when I'm away, or the weather changes according to specified paramters, i can save money on my bills.",Energy
353,"curtains that can close automatically with a clap, I don't have to pull a string.",Safety
354,"Sensors that can notify my smartphone if there are movments in the house, I know if someone breaks in..",Safety
355,"automatic shades/blinds that adjust throughout the day, it can maximise brightness in the room during the day without me having to..",Energy
356,"Smoke detectors that can notify my phone, I know if there is anything wrong in the house.",Health
357,"a subtle reminder should I leave a door unlocked or open, I'm protected from intruders.",Safety
358,"my home to notify me when I need to take the dog out for walks, I do not neglect my pet and it can take care of its business outside the home.",Health
359,"lights that turn on and off automatically, Ligts are never left on wasting electricty.",Energy
360,"my smart home to be able to place phone calls from voice command / or text messages (like, activate computer with voice command: call x, and then have the call take place ""mid air"" so to speak), i can conveniently place orders, talk to customer service ,or get in touch with people.",Entertainment
361,"my smart home to turn on lights in the living room, foyer, and front porch when someone approaches the door, it seems as if someone is home, even if that isn't the case..",Safety
362,"a search engine voice activated with a display on a wall, i can quick search something in a conversation.",Entertainment
363,"my home to automatically wake up children at a predetermined time for school, I do not have to wake my children up myself and they are not late for school.",Other
